l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp
4096.0,64000.0,3136.0,64.0,3.0,34.0,42.0,22.0,5.0,2.0,6.0,1.0,3.0,2.0,6.0,2.0,6.0,4.0,6.0,2.0,4.0,6.0,1.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,5.0,512.0,256.0,1.0,1024.0,4.0,1.0,1.0,1.0,1.0,16.0,128.0,1.0,2.0,5.0,2.0,6.0,5.0,6.0,2.0,5.0,1.0,6.0,3.0,1.0,3.0,6.0,6.0,1.0,2.0,6.0,64.0,512.0,1.0,192.0,32.0,1.0,1.0,1.0,1.0,160.0,4.0,1.0,694604566.0,33352536.2,19706900000.0,126.70255555555556,3136.0,10.0,1441792.0,2.316682393220029e+16
512000.0,512000.0,3136.0,64.0,3.0,10.0,10.0,32.0,5.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,5.0,3.0,6.0,2.0,1.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,64.0,4096.0,1.0,2.0,64.0,1.0,1.0,1.0,1.0,64.0,32.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,6.0,5.0,3.0,1.0,3.0,4.0,6.0,6.0,3.0,1.0,1.0,2048.0,2.0,1.0,256.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,12852399445.0,35026405.0,19707000000.0,129.85677777777778,3136.0,10.0,2375680.0,4.501733481823452e+17
256000.0,1024000.0,3136.0,64.0,3.0,30.0,26.0,40.0,4.0,6.0,2.0,5.0,5.0,4.0,2.0,3.0,6.0,3.0,2.0,4.0,3.0,4.0,5.0,6.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,512.0,4096.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,5.0,5.0,1.0,1.0,5.0,2.0,6.0,6.0,2.0,4.0,4.0,5.0,5.0,8.0,2048.0,1.0,256.0,32.0,1.0,1.0,1.0,1.0,80.0,2.0,1.0,2737199540.0,33244948.0,19707000000.0,128.6928888888889,3136.0,10.0,2154496.0,9.099805637292392e+16
1024000.0,2048000.0,3136.0,64.0,3.0,22.0,12.0,32.0,3.0,6.0,3.0,3.0,1.0,6.0,5.0,3.0,4.0,1.0,4.0,5.0,3.0,4.0,6.0,6.0,3.0,6.0,2.0,4.0,3.0,4.0,1.0,4.0,128.0,8.0,1.0,512.0,2048.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,2.0,6.0,5.0,6.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,1.0,5.0,6.0,2.0,1.0,3.0,1.0,512.0,1.0,192.0,3072.0,1.0,1.0,1.0,1.0,160.0,64.0,1.0,3590728688.0,32779005.0,19707200000.0,132.74144444444443,3136.0,10.0,4292608.0,1.1770051361759544e+17
1024.0,128000.0,3136.0,64.0,3.0,30.0,6.0,2.0,1.0,5.0,6.0,4.0,2.0,1.0,2.0,6.0,4.0,5.0,2.0,5.0,6.0,4.0,6.0,1.0,3.0,3.0,6.0,4.0,1.0,6.0,1.0,1.0,256.0,1.0,1.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,3.0,5.0,1.0,2.0,5.0,4.0,6.0,2.0,6.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4096.0,32.0,1.0,4.0,16.0,1.0,1.0,1.0,1.0,20.0,10.0,1.0,4366155000.0,41385696.0,19706800000.0,124.26877777777779,3136.0,10.0,295552.0,1.8069636351888e+17
32000.0,128000.0,3136.0,64.0,3.0,44.0,20.0,46.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,4.0,4.0,1.0,5.0,5.0,1.0,6.0,4.0,1.0,6.0,4.0,6.0,3.0,3.0,6.0,2.0,6.0,2048.0,32.0,1.0,32.0,128.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,2.0,3.0,5.0,6.0,6.0,2.0,4.0,6.0,3.0,2.0,6.0,5.0,5.0,5.0,4.0,1.0,3.0,64.0,64.0,1.0,384.0,3.0,1.0,1.0,1.0,1.0,64.0,20.0,1.0,2690179208.0,34409682.4,19706800000.0,125.23133333333332,3136.0,10.0,733184.0,9.256821214636354e+16
2048.0,8192000.0,3136.0,64.0,3.0,30.0,20.0,26.0,4.0,6.0,4.0,1.0,5.0,3.0,1.0,1.0,4.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,1.0,4.0,3.0,3.0,4.0,1.0,5.0,64.0,1024.0,1.0,4.0,1024.0,1.0,1.0,1.0,1.0,32.0,8.0,1.0,5.0,3.0,5.0,3.0,1.0,6.0,6.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,6.0,128.0,1024.0,1.0,64.0,24.0,1.0,1.0,1.0,1.0,5.0,160.0,1.0,7768456790.0,33283331.0,19707000000.0,128.01877777777779,3136.0,10.0,2228224.0,2.585601187007675e+17
8192.0,16000000.0,3136.0,64.0,3.0,28.0,16.0,40.0,1.0,3.0,4.0,2.0,5.0,1.0,4.0,6.0,1.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,2.0,5.0,6.0,1.0,6.0,5.0,1.0,1.0,2.0,4096.0,1.0,2048.0,1.0,1.0,1.0,1.0,1.0,128.0,8.0,1.0,1.0,6.0,1.0,4.0,6.0,5.0,4.0,1.0,2.0,5.0,6.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,8.0,128.0,1.0,384.0,48.0,1.0,1.0,1.0,1.0,40.0,5.0,1.0,2803127498.0,35312531.8,19708700000.0,152.0871111111111,3136.0,10.0,18350080.0,9.898552891257942e+16
64000.0,1024000.0,3136.0,64.0,3.0,44.0,18.0,40.0,3.0,1.0,5.0,3.0,5.0,6.0,3.0,2.0,2.0,3.0,2.0,3.0,6.0,5.0,2.0,5.0,3.0,2.0,1.0,6.0,3.0,2.0,4.0,3.0,16.0,16.0,1.0,1024.0,32.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,6.0,2.0,1024.0,256.0,1.0,32.0,3072.0,1.0,1.0,1.0,1.0,10.0,80.0,1.0,24432203126.0,39282420.0,19707500000.0,137.05488888888888,3136.0,10.0,6946816.0,9.597560647208449e+17
128.0,32000000.0,3136.0,64.0,3.0,28.0,18.0,2.0,3.0,6.0,6.0,1.0,2.0,5.0,2.0,6.0,3.0,5.0,4.0,5.0,5.0,2.0,6.0,6.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,1.0,4.0,4096.0,1.0,16.0,2048.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,6.0,4.0,2.0,6.0,5.0,5.0,4.0,3.0,5.0,2.0,1.0,3.0,5.0,2048.0,64.0,1.0,12.0,128.0,1.0,1.0,1.0,1.0,32.0,160.0,1.0,1214341641.0,33032451.8,19708500000.0,151.78511111111112,3136.0,10.0,16801792.0,4.011268172506541e+16
