Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,Bottleneck4_3_Residual,3080,3169,11602.3,11.875,1.02351e+06,1.92671e+10,121374,11,11.8438,11,1,11,4716,6,1,1,37632,192,3.24351e+09,37632,3764.68,63.756,16.2702,117529,37632, 19404, 19404, 37632, 1.93939, 37632, 192, 192, 192, 196, 37632, 37632, 37632, 37632, 1, 1, 1, 1, 1, 1, 1, 99, 99, 99, 12, 1.9798
MobileNetV2,Bottleneck4_4_1,3080,48449,10358.3,149.133,1.43974e+07,1.92671e+10,121609,46,46.5938,46,1,46,72888,6,1,1,37632,36864,6.97539e+11,7225344,3764.68,63.756,251.464,117529,7225344, 37632, 37632, 37632, 192, 7225344, 34596, 34596, 36864, 208.849, 7225344, 7225344, 37632, 2257920, 1, 1, 1, 1, 12, 12, 12, 757, 757, 757, 224, 100.085
MobileNetV2,Bottleneck4_4_2,3080,3482,11763.9,71.4624,6.07472e+06,1.92671e+10,121911,34,18.8333,34,1,34,12384,54,1,1,37632,1728,2.11522e+10,248832,3764.68,573.804,42.7248,117529,248832, 57600, 57600, 37632, 4.32, 248832, 8208, 8208, 1728, 30.3158, 248832, 248832, 27648, 27648, 1, 1, 2, 1, 1, 1, 1, 145, 145, 145, 72, 3.78947
MobileNetV2,Bottleneck4_4_3,3080,92169,949.409,26.1308,2.75232e+07,1.92671e+10,121538,0,0.333333,0,1,0,52096,6,1,1,37632,12288,2.53679e+12,2408448,3764.68,63.756,179.731,117529,2408448, 37632, 37632, 37632, 64, 2408448, 10240, 10240, 12288, 235.2, 2408448, 2408448, 12544, 28224, 1, 5, 6, 5, 3, 3, 3, 30721, 30721, 30721, 28, 51.4098
MobileNetV2,Bottleneck5_1_1,3080,21562,6302.33,223.397,3.54468e+07,1.92671e+10,121844,24,24.375,24,1,24,140992,6,1,1,12544,24576,7.64304e+11,4816896,3764.68,63.756,486.422,117529,4816896, 12544, 12544, 12544, 384, 4816896, 21888, 21888, 24576, 220.07, 4816896, 4816896, 75264, 526848, 1, 2, 2, 2, 21, 21, 21, 2695, 2695, 2695, 224, 141.474
MobileNetV2,Bottleneck5_1_2,3080,18159,8414.89,27.4059,3.25683e+06,1.92671e+10,122125,9,4.83333,9,1,9,74496,54,1,1,75264,3456,5.91408e+10,497664,3764.68,573.804,257.011,117529,497664, 86016, 86016, 75264, 5.78571, 497664, 3456, 3456, 3456, 144, 497664, 497664, 55296, 55296, 1, 4, 9, 4, 3, 3, 3, 3025, 3025, 3025, 27.4286, 6.75
MobileNetV2,Bottleneck5_1_3,3080,88742,3314.41,325.679,9.82613e+07,1.92671e+10,122613,2,2,2,1,2,363840,6,1,1,75264,147456,8.7199e+12,28901376,3764.68,63.756,1255.25,117529,28901376, 75264, 75264, 75264, 384, 28901376, 147456, 147456, 147456, 196, 28901376, 28901376, 75264, 141120, 1, 36, 36, 36, 23, 23, 23, 44353, 44353, 44353, 336, 129.766
MobileNetV2,Bottleneck5_2_1,3080,88742,47266.7,325.679,6.89024e+06,1.92671e+10,122613,2,2,2,1,2,363840,6,1,1,75264,147456,6.11453e+11,28901376,3764.68,63.756,1255.25,117529,28901376, 75264, 75264, 75264, 384, 28901376, 147456, 147456, 147456, 196, 28901376, 28901376, 75264, 141120, 1, 36, 36, 36, 23, 23, 23, 44353, 44353, 44353, 336, 129.766
MobileNetV2,Bottleneck5_2_2,3080,18159,45712.6,27.4059,599526,1.92671e+10,122125,9,4.83333,9,1,9,74496,54,1,1,75264,3456,1.08868e+10,497664,3764.68,573.804,257.011,117529,497664, 86016, 86016, 75264, 5.78571, 497664, 3456, 3456, 3456, 144, 497664, 497664, 55296, 55296, 1, 4, 9, 4, 3, 3, 3, 3025, 3025, 3025, 27.4286, 6.75
MobileNetV2,Bottleneck5_2_3,3080,48782,2043.06,148.115,7.24965e+07,1.92671e+10,121519,3,2.75,3,1,3,46656,6,1,1,75264,36864,3.53653e+12,7225344,3764.68,63.756,160.963,117529,7225344, 75264, 75264, 75264, 96, 7225344, 64512, 64512, 36864, 112, 7225344, 7225344, 18816, 37632, 1, 3, 6, 5, 2, 2, 2, 6097, 6097, 6097, 149.333, 48.4948
